,art_id,author,description,name
29,11507,Titian Vecellio,"[Titian Vecellio](https://my.meural.com/artists/146/titian-vecellio), often referred to as Titian, was one of the greatest [Renaissance](https://my.meural.com/categories/74/renaissance) painters, combining High Renaissance and [Mannerist](https://my.meural.com/categories/105/mannerism) ideas to develop a style well ahead of his time. He dominated Venetian art with a creativity that allowed the city to rival the previously acknowledged artistic centers of Florence and Rome and he painted some the most important and eminent personalities of the time including Emperors, Kings, and Popes. He also painted a range of religious and mythological subjects, sometimes on a vast scale. During a long and prolific career, his work developed from traditional Renaissance imagery to increasingly energetic canvases that rejected balanced compositions and replaced them with asymmetry and dynamic subjects. ([The Art Story](http://www.theartstory.org/artist-titian.htm))",Bacchus and Ariadne
30,317,Arthur Bowen Davies,"Arthur Bowen Davies was a leading advocate of modern art in the United States in the early twentieth century. He was a principal organizer of the landmark 1913 Armory Show, which was the first large exhibition of modern art in the US and introduced European modernism to an American audience. Bowen Davies at first painted in a lyrical, romantic style - often pastoral scenes inspired by Greek mythology and the Renaissance - but his exposure to modern art inspired him to adopt the modified cubist style seen in ‘Dances’. He returned to a more representational and classical approach later in his career.",Dances
31,11836,Paul Cézanne,"[Paul Cézanne](https://my.meural.com/artists/93/paul-cezanne) was an influential, French [Post-Impressionist](https://my.meural.com/categories/169/post-impressionism) who insisted that painting remain true to its virtually sculptural, material origins. Art historians credit Cézanne's visual and conceptual methods with paving the way for [Modernism's](https://my.meural.com/categories/65/modernism) emergence in the 20th century. His work constitutes an essential link between the ephemeral aspects of Impressionism and later, more materialist movements like Fauvism, [Expressionism](https://my.meural.com/categories/146/expressionism), and complete abstraction. Picasso once explained that Cézanne's technique ""passage""—blending small, angled planes of color to denote space and form—was crucial to Cubism's formation, and called the painter his ""one and only master."" Cézanne's bright, flat forms fitted onto compressed backgrounds that still maintain perspective's logic make his paintings blatantly identifiable.",Apples and Oranges
32,8359,J.M.W. Turner,"The 98-gun ship 'Temeraire' played a distinguished role in Nelson's victory at the Battle of Trafalgar in 1805, after which she was known as the 'Fighting Temeraire'. This painting was thought to represent the decline of Britain's naval power. The 'Temeraire' is shown travelling east, away from the sunset, even though Rotherhithe is west of Sheerness, but Turner's main concern was to evoke a sense of loss, rather than to give an exact recording of the event. The spectacularly colourful setting of the sun draws a parallel with the passing of the old warship. By contrast the new steam-powered tug is smaller and more prosaic. Turner was in his sixties when he painted 'The Fighting Temeraire'. It shows his mastery of painting techniques to suggest sea and sky. Paint laid on thickly is used to render the sun's rays striking the clouds. By contrast, the ship's rigging is meticulously painted. (Tate Britain)",The Fighting Temeraire Tugged to Her Last Berth to Be Broken Up
33,10591,Sandro Botticelli,"One of the most esteemed artists in [early Renaissance](https://my.meural.com/playlists/46275/introducing-the-early-renaissance) Italy, [Sandro Botticelli](https://my.meural.com/artists/138/sandro-botticelli) worked under the patronage of the Medici family, for whom he created his celebrated masterpieces *Primavera* (c. 1480) and *The Birth of Venus* (c. 1485). The painter was somewhat of an outsider to the artistic movements of his time, focusing on graceful use of line and color rather than three-dimensionality and perspective. This caused his reputation to suffer in the period following his death, though his work is widely celebrated today.",Four Scenes from the Early Life of Saint Zenobius
34,17641,Pierre-Auguste Renoir,"[Pierre-Auguste Renoir](https://my.meural.com/artists/115/pierre-auguste-renoir) was a French [Impressionist](https://my.meural.com/categories/148/impressionism) painter whose eye for beauty made him one of the movement's most popular practitioners. He is best known for his paintings of bustling Parisian modernity and leisure in the last three decades of the 19th century. Though celebrated as a colorist, Renoir started to explore [Renaissance](https://my.meural.com/categories/74/renaissance) painting in the middle of his career, which led him to integrate more line and composition into his mature works and create some of his era's most timeless canvases. ([The Art Story](http://www.theartstory.org/artist-renoir-pierre-auguste.htm))",Woman with a Parasol in a Garden
35,5998,John James Audubon,"[John James Audubon](https://my.meural.com/artists/88/john-james-audubon) was born to a French Naval Officer in French-colonized Haiti. He was sent to America at a young age, where he developed a keen interest in nature and art. Audubon dedicated his life to creating a comprehensive illustrated guide to birds in America. The monumental work was first published in Britain, where it took the work of over 40 engravers and colorists to create printable versions of Audubon’s watercolor and gouache paintings, for the modern day equivalent of $2,000,000. The resulting work, titled 'Birds of America,' is arguably the most significant illustrated ornithological work ever made.",Ruddy Duck
36,117011,George Hendrik Breitner,"[George Hendrik Breitner](https://my.meural.com/artists/251/george-hendrik-breitner) was a Dutch painter and photographer. A key figure in Amsterdam [Impressionism](https://my.meural.com/categories/148/impressionism), he is noted especially for his realistic style paintings of street scenes and harbors. He painted en plein air, and became interested in photography as a means of documenting street life and atmospheric effects. He used this newfound medium as reference material for his paintings.",The Red Kimono
37,146636,Edvard Munch,"[Edvard Munch](https://my.meural.com/artists/81/edvard-munch) was a prolific yet troubled artist. He expressed his preoccupation with illness, sexuality, and religion, through intensely colored, semi-abstract, mysterious works. Following the triumph of French [Impressionism](https://my.meural.com/categories/148/impressionism), Munch took up more graphic sensibilities, and became one of the most controversial and eventually renowned artists among a new generation of [Expressionist](https://my.meural.com/categories/146/expressionism) and [Symbolist](https://my.meural.com/playlists/45347/introducing-symbolism) painters. Munch came of age during the [Art Nouveau](https://my.meural.com/playlists/18321/introducing-art-nouveau) movement and its focus on all things organic and mysterious. In keeping with these motifs, but straying from their decorative applications, Munch treated the visible as a window into disturbing human psychology. ([The Art Story](http://www.theartstory.org/artist-munch-edvard.htm))",The Kiss
38,127819,Kuroda Seiki,"Kuroda Seiki was a Japanese Painter known for being a leading figure of the Yōga movement—the blending of western painting style with Japanese artistry. Seiki initially set out to pursue a career in law, and had moved to Paris to do so. While in Paris, however, Seiki met Yamamoto Hōsui, an accomplished painter at the time, who convinced him to become an artist. Because of his unorthodox blending of styles, Seiki's work was controversial in his home country at first, especially when he exhibited a female nude painting in Japan. Over time, however, and after his pupils began to paint in his style, Kuroda gained popularity in Japan, as well as the rest of the world.",Azaleas
39,131903,Wassily Kandinsky,"One of the pioneers of abstraction modern art, [Wassily Kandinsky](https://my.meural.com/artists/203/wassily-kandinsky) exploited the evocative interrelation between color and form to create an aesthetic experience that engaged the sight, sound, and emotions of the public. He believed that total abstraction offered the possibility for profound, transcendental expression and that copying from nature only interfered with this process. Highly inspired to create art that communicated a universal sense of spirituality, he innovated a pictorial language that only loosely related to the outside world, but expressed volumes about the artist's inner experience. Kandinsky's art and ideas inspired many generations of artists, from his students at the Bauhaus to the Abstract Expressionists after World War II. ([The Art Story](http://www.theartstory.org/artist-kandinsky-wassily.htm))",Yellow-Red-Blue
40,108900,Robert Henri,"[Robert Henri](https://my.meural.com/artists/237/robert-henri) was a founding figure of the [Ashcan School](https://my.meural.com/playlists/6204/alma-mater-ashcan-school) of realist painting. He believed that art should function similarly to journalism: to reveal the unromanticized truths about city life. His students included [Edward Hopper](https://my.meural.com/artists/161/edward-hopper), [George Bellows](https://my.meural.com/artists/169/george-bellows), and Rockwell Kent.",Gertrude Vanderbilt Whitney
41,158090,Rachel Ruysch,"Rachel Ruysch was perhaps the most prominent woman painter of the Dutch Golden Age. The daughter of a botanist, Ruysch developed her drawing skills early by creating studies of plant and animal specimens. Her paintings of flowers were widely collected and celebrated during her long and prolific career.",Garland with Blossoms
